Name,FFD,ID
Ranunculus rhomboides,129,A
Ranunculus rhomboides, ,A
Ranunculus rhomboides, ,A
Ranunculus rhomboides, ,A
Ranunculus rhomboides,142,A
Ranunculus rhomboides, ,A
Ranunculus rhomboides, ,A
Ranunculus rhomboides, ,A
Ranunculus rhomboides, ,A
Ranunculus rhomboides, ,A
Ranunculus rhomboides, ,A
Ranunculus rhomboides, ,A
Ranunculus rhomboides, ,A
Ranunculus rhomboides, ,A
Ranunculus rhomboides, ,A
Ranunculus rhomboides, ,A
Ranunculus rhomboides,133,A
Ranunculus rhomboides, ,A
Ranunculus rhomboides,95,A
Ranunculus rhomboides,138,A
Ranunculus rhomboides, ,A
Ranunculus rhomboides, ,A
Ranunculus rhomboides,109,A
Ranunculus rhomboides, ,A
Ranunculus rhomboides,123,A
Ranunculus rhomboides,116,A
Ranunculus rhomboides,122,A
Cerastium arvense,129,B
Cerastium arvense,127,B
Cerastium arvense,,B
Cerastium arvense,,B
Cerastium arvense,128,B
Cerastium arvense,,B
Cerastium arvense,,B
Cerastium arvense,,B
Cerastium arvense,,B
Cerastium arvense,,B
Cerastium arvense,,B
Cerastium arvense,,B
Cerastium arvense,,B
Cerastium arvense,,B
Cerastium arvense,117,B
Cerastium arvense,141,B
Cerastium arvense,140,B
Cerastium arvense,,B
Cerastium arvense,123,B
Cerastium arvense,,B
Cerastium arvense,137,B
Cerastium arvense,144,B
Cerastium arvense,133,B
Ranunculus abortivus,140,C
Ranunculus abortivus,,C
Ranunculus abortivus,,C
Ranunculus abortivus,,C
Ranunculus abortivus,,C
Ranunculus abortivus,,C
Ranunculus abortivus,,C
Ranunculus abortivus,117,C
Ranunculus abortivus,159,C
Ranunculus abortivus,140,C
Ranunculus abortivus,,C
Ranunculus abortivus,131,C
Oxalis violacea,139,D
Oxalis violacea, ,D
Oxalis violacea, ,D
Oxalis violacea, ,D
Oxalis violacea,140,D
Oxalis violacea,146,D
Oxalis violacea,130,D
Oxalis violacea,145,D
Oxalis violacea, ,D
Oxalis violacea, ,D
Oxalis violacea, ,D
Oxalis violacea,122,D
Oxalis violacea,141,D
Oxalis violacea,146,D
Oxalis violacea, ,D
Oxalis violacea,131,D
Oxalis violacea, ,D
Oxalis violacea, ,D
Oxalis violacea,144,D
Oxalis violacea,143,D
Sisyrinchium angustifolium,149,E
Sisyrinchium angustifolium,,E
Sisyrinchium angustifolium,,E
Sisyrinchium angustifolium,,E
Sisyrinchium angustifolium,139,E
Sisyrinchium angustifolium,,E
Sisyrinchium angustifolium,,E
Sisyrinchium angustifolium,,E
Sisyrinchium angustifolium,,E
Sisyrinchium angustifolium,,E
Sisyrinchium angustifolium,,E
Sisyrinchium angustifolium,,E
Sisyrinchium angustifolium,,E
Sisyrinchium angustifolium,,E
Sisyrinchium angustifolium,,E
Sisyrinchium angustifolium,127,E
Sisyrinchium angustifolium,151,E
Sisyrinchium angustifolium,138,E
Sisyrinchium angustifolium,,E
Sisyrinchium angustifolium,138,E
Sisyrinchium angustifolium,,E
Sisyrinchium angustifolium,,E
Sisyrinchium angustifolium,152,E
Sisyrinchium angustifolium,143,E
Trillium cernuum,125,F
Trillium cernuum,145,F
Trillium cernuum,146,F
Trillium cernuum,,F
Trillium cernuum,131,F
Trillium cernuum,,F
Trillium cernuum,,F
Trillium cernuum,,F
