year,Oxali viola,Ranun rhomb,Ceras arven,Sisyr angus,Anemo paten,Anemo canad,Penst graci,Ranun abort,Achil mille,Zizia aurea,Rosa arkan,Vicia ameri,Litho canes,Amorp canes,Pedic canad,Trill cernu,Litho incis,Calth palus,Penst grand,Zigad elega,Campa rotun,Cypri candi,Zizia aurea,Fraga virgi,Oxytr lambe,Liliu phila,Oenot nutta
1942,, ,,,,,,, ,,,, , ,152, , , , , , , , , ,152, , 
1943,, ,,,,,,, ,,,, , , , , , , , , , , , , , , 
1944,,129,,,,,,, ,,,, , , , , , , , , , , , , , , 
1945,, ,,,,,,, ,,,, , ,142, , ,117, , , , , , , , , 
1946,, ,,,,,,, ,,,, , , , , , , , , , , , , , , 
1947,, ,,149,,,,, ,,,, , , , , ,124, , , , , , , , , 
1948,,142,129,,,,168,, ,,,, , , , , , ,168, , , , , , , , 
1949,, ,127,,,,,, ,146,,143, , , , , , , , , , ,146, , , , 
1950,, ,,,,,172,, ,161,,161, ,196, , , , , , , , ,161, , , , 
1951,139, ,,139,,,,, ,,,, , , , , , , , , , , , , , , 
1952, , ,128,,,,,, ,,,, , , , , , ,157, , , , , , , , 
1953, , ,,,,,175,, ,153,,, , , , , , , ,176, , ,153, , , , 
1954, , ,,,,,,,170,164,170,167, , , , , , , ,172, , ,164, , , , 
1955,140, ,,,,,,140,,,,136, , , , , , ,174, , , , , , , , 
1956,146, ,,,,,,,,,,, , , , , , , , , ,156, , , , , 
1957,130, ,,,,,,,,149,165,, , , , , , , , , , ,149, , , , 
1958,145, ,,,,,167,,,142,,145, , , , , , , ,172, , ,142, , , , 
1959, , ,,,,,,,,153,,146, ,186, , , ,128, , , , ,153, , , , 
1960, ,133,,,,,,,,153,162,152, , , , , , ,162, , , ,153, , , , 
1961, , ,,,,,,,,,,,143,188, , ,140, , , , ,158, , , , ,171
2012,122,95,117,127,84,84,,117,139,123,153,,117,179,147,125,128,110, ,163,217, ,123,123, , ,192
2013,141,138,141,151,126,126,171,159,170,171,,151,144,170, ,145,148,139,166,185,171,151,171,150,171,185,206
2014,146, ,140,138,105,105,162,140,,148,,,145,163,148,146,152,,162,,189,157,148,148,183,189,224
2015, , ,,,,,,,,,,,,,,,,,,,,,,,,,
2016,131,109,123,138,91,91,159,131,152,138,159,152,131,,138,131,,,159,,,152,138,,159,,
2017, , ,,,,,,,,,,,,,,,,,,,,,,,,,229
2018, ,123,137,,,,,,158,,,,137,,,,,,,,,,,,,,
2019,144,116,144,152,111,111,169,,,,177,,144,,152,,144,,169,177,169,,,,160,,
2020,143,122,133,143,112,160,167,,159,146,175,,139,175,139,150,149,131,167,175,167,149,146,143,158,175,
