year,SPDX,DOBG,AGDU,FFD,DOYX,TSNOW
1942,0,99,105, , Mar 10,7.3
1943,3,88,112, ,,22.4
1944,3,93,118, ,,21.2
1945,1,108,99, ,,13.6
1946,11,97,104, ,,17.7
1947,0,101,122, ,,10.9
1948,25,93,115, ,,30.2
1949,4,89,109, ,,20
1950,8,118,138, ,,27.6
1951,13,92,122, ,,29.3
1952,7,100,117, ,,24.3
1953,0,76,122, ,,14.3
1954,0,94,113, ,,12.2
1955,5,90,107, ,,22.4
1956,5,101,132, ,,18.9
1957,0,60,114, ,,8.5
1958,0,53,100, ,,7.1
1959,0,60,110, ,,5.7
1960,2,95,121, ,,9.8
1961,0,59,111,140,,3.9
2012,4,72,83,128,,23.4
2013,16,116,132,148,,38.2
2014,9.8,93,117,152,,16.5
2015,0,66,99,,,11.5
2016,0,51,97,,,16.2
2017,0,59,98,,,18.9
2018,9.8,105,124,,,34.7
2019,25.2,105,117,144,,40.5
2020,8,98,120,149,,10.5
