year,SPDX,DOBG,IAT,AGDU,FFD,DOYX,TSNOW,SP,HI,AT
1942,0,99,17.4,105,,65,7.3,0,0.843478261,33.16379928
1943,2,88,,112,,65,22.4,5,0.923809524,20.04175627
1944,8,93,,118,,66,21.2,3,0.866071429,27.44139785
1945,,108,,99,,65,13.6,0,0.822033898,28.36200717
1946,,97,,104,,65,17.7,2,0.97979798,30.01989247
1947,,101,,122,,65,10.9,1,0.932692308,26.75268817
1948,,93,,115,,66,30.2,17,0.795081967,21.64247312
1949,,89,,109,,65,20,3,0.843478261,24.17526882
1950,,118,,138,,65,27.6,7,0.889908257,15.72544803
1951,10,92,13.7,122,139,65,29.3,12,0.702898551,19.04605735
1952,,100,,117, ,66,24.3,5,0.795081967,23.25842294
1953,,76,,122, ,65,14.3,2,0.829059829,25.27401434
1954,,94,,113, ,65,12.2,1,0.795081967,21.74354839
1955,7,90,4.3,107,140,65,22.4,4,0.85840708,25.69121864
1956,7,101,8,132,146,66,18.9,5,0.906542056,20.14426524
1957,0,60,14.1,114,130,65,8.5,0,0.734848485,24.17258065
1958,0,53,15.4,100,145,65,7.1,1,0.850877193,31.17992831
1959,,60,,110, ,65,5.7,0,0.97,25.92096774
1960,,95,,121, ,66,9.8,3,0.881818182,21.57706093
1961,,59,,111, ,65,3.9,0,0.801652893,26.34121864
2012,6,72,20.3,83,122,66,23.4,0,0.873873874,37.04860178
2013,16,116,15.7,132,141,65,38.2,14,0.734848485,21.27780876
2014,13,93,4.7,117,146,65,16.5,0,0.829059829,22.4031618
2015,,66,,99, ,65,11.5,0,0.97979798,29.46573221
2016,0,51,25,97,131,66,16.2,0,1,35.24143493
2017,,59,,98, ,65,18.9,0,0.989795918,33.12089094
2018,,105,,124, ,65,34.7,7.1,0.782258065,22.69546851
2019,19,105,-0.2,117,144,65,40.5,22,0.829059829,21.18771121
2020,9,98,14.3,120,143,66,10.5,5,0.808333333,26.49755284
