year,SPDX,DOBG,IAT,AGDU,FFD,DOYX,TSNOW
1942,,99,,105, ,72,7.3
1943,,88,,112, ,,22.4
1944,5,93,16.4,118,129,,21.2
1945,,108,,99, ,,13.6
1946,,97,,104, ,,17.7
1947,,101,,122, ,,10.9
1948,22,93,9.5,115,142,,30.2
1949,,89,,109, ,,20
1950,,118,,138, ,,27.6
1951,,92,,122, ,,29.3
1952,,100,,117, ,,24.3
1953,,76,,122, ,,14.3
1954,,94,,113, ,,12.2
1955,,90,,107, ,,22.4
1956,,101,,132, ,,18.9
1957,,60,,114, ,,8.5
1958,,53,,100, ,,7.1
1959,,60,,110, ,,5.7
1960,3,95,6.3,121,133,,9.8
1961,,59,,111, ,,3.9
2012,0,72,25.5,83,95,,23.4
2013,15,116,15.1,132,138,,38.2
2014,,93,,117, ,,16.5
2015,,66,,99, ,,11.5
2016,0,51,31.8,97,109,,16.2
2017,,59,,98, ,,18.9
2018,7,105,17.1,124,123,,34.7
2019,22,105,5,117,116,,40.5
2020,6,98,17.8,120,122,,10.5
